time,open,high,low,close,Chars,Chars,Chars,Chars,Chars,Chars,Chars,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
1755211800,23887,23891.25,23885.75,23890.75,0,0,0,0,0,0,0,NaN,23891.25,23885.75,23890.75
1755212100,23890.25,23897,23889.75,23895.5,0,0,0,0,0,0,0,NaN,23897,23889.75,23895.5
1755212400,23896.5,23907.5,23895.5,23903,0,0,0,0,0,0,0,NaN,23907.5,23895.5,23903
1755212700,23903,23908.5,23900.75,23905.75,0,0,0,0,0,0,0,NaN,23908.5,23900.75,23905.75
1755213000,23906,23908.5,23900.25,23901.5,0,0,0,0,0,0,0,NaN,23908.5,23900.25,23901.5
1755213300,23901.5,23906,23901,23906,0,0,0,0,0,0,0,NaN,23906,23901,23906
1755213600,23905.25,23910.75,23901.25,23903.75,0,0,0,0,0,0,0,NaN,23910.75,23901.25,23903.75
1755213900,23904.5,23904.75,23900.75,23903,0,0,0,0,0,0,0,NaN,23904.75,23900.75,23903
1755214200,23901.75,23903.5,23897,23897,0,0,0,0,0,0,0,NaN,23903.5,23897,23897
1755214500,23897.5,23903.75,23897.25,23903,0,0,0,0,0,0,0,NaN,23903.75,23897.25,23903
1755214800,23902,23908.25,23901.75,23904.25,0,0,0,0,0,0,0,NaN,23908.25,23901.75,23904.25
1755215100,23904.75,23911,23899.75,23900.5,0,0,0,0,0,0,0,NaN,23911,23899.75,23900.5
1755215400,23899.75,23901.5,23890.25,23896,0,0,0,0,0,0,0,NaN,23901.5,23890.25,23896
1755215700,23895,23896.5,23888.25,23888.5,0,0,0,0,0,0,0,NaN,23896.5,23888.25,23888.5
1755216000,23889.25,23894.25,23884.75,23889.25,0,0,0,0,0,0,0,NaN,23894.25,23884.75,23889.25
1755216300,23890,23890,23880.25,23880.5,0,0,0,0,0,0,0,NaN,23890,23880.25,23880.5
1755216600,23880,23887,23873.75,23887,0,0,0,0,0,0,0,NaN,23887,23873.75,23887
1755216900,23885.5,23889,23880.5,23883.5,0,0,0,0,0,0,0,NaN,23889,23880.5,23883.5
1755217200,23884.25,23886,23874.25,23885.5,0,0,0,0,0,0,0,NaN,23886,23874.25,23885.5
1755217500,23886,23889.75,23881.75,23889.75,0,0,0,0,0,0,0,NaN,23889.75,23881.75,23889.75
1755217800,23889.25,23895.25,23888.25,23892.25,0,0,0,0,0,0,0,NaN,23895.25,23888.25,23892.25
1755218100,23892,23905.75,23892,23903.5,0,0,0,0,0,0,0,NaN,23905.75,23892,23903.5
1755218400,23905,23913.5,23904.75,23906.75,0,0,0,0,0,0,0,NaN,23913.5,23904.75,23906.75
1755218700,23907,23909.75,23893.75,23896,0,0,0,0,0,0,0,NaN,23909.75,23893.75,23896
1755219000,23896.5,23897.5,23890.5,23893.25,0,0,0,0,0,0,0,NaN,23897.5,23890.5,23893.25
1755219300,23893.75,23895,23890,23892,0,0,0,0,0,0,0,NaN,23895,23890,23892
1755219600,23892.25,23899.5,23890.25,23896.25,0,0,0,0,0,0,0,NaN,23899.5,23890.25,23896.25
1755219900,23897,23899.5,23895.5,23897.5,0,0,0,0,0,0,0,NaN,23899.5,23895.5,23897.5
1755220200,23898.25,23900,23893,23894.25,0,0,0,0,0,0,0,NaN,23900,23893,23894.25
1755220500,23894,23898,23891.25,23896,0,0,0,0,0,0,0,NaN,23898,23891.25,23896
1755220800,23896,23900,23890.5,23898.75,0,0,0,0,0,0,0,NaN,23900,23890.5,23898.75
1755221100,23898.5,23898.5,23893.25,23897.25,0,0,0,0,0,0,0,NaN,23898.5,23893.25,23897.25
1755221400,23897,23901.5,23896,23901,0,0,0,0,0,0,0,NaN,23901.5,23896,23901
1755221700,23901.75,23907.75,23901.25,23906.25,0,0,0,0,0,0,0,NaN,23907.75,23901.25,23906.25
1755222000,23906.5,23910.75,23905.75,23908.25,0,0,0,0,0,0,0,NaN,23910.75,23905.75,23908.25
1755222300,23908.75,23911.5,23904,23906,0,0,0,0,0,0,0,NaN,23911.5,23904,23906
