time,open,high,low,close,Chars,Chars,Chars,Chars,Chars,Chars,Chars,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
2025-09-05T14:30:00-04:00,23642.5,23664,23641.75,23646.25,0,0,0,0,0,0,0,NaN,23664,23641.75,23646.25
2025-09-05T14:35:00-04:00,23646.5,23656,23637.75,23644.75,0,0,0,0,0,0,0,NaN,23656,23637.75,23644.75
2025-09-05T14:40:00-04:00,23644.5,23651.25,23638.25,23649.75,0,0,0,0,0,0,0,NaN,23651.25,23638.25,23649.75
2025-09-05T14:45:00-04:00,23649.25,23656.5,23642,23649,0,0,0,0,0,0,0,NaN,23656.5,23642,23649
2025-09-05T14:50:00-04:00,23649,23659,23635.75,23639,0,0,0,0,0,0,0,NaN,23659,23635.75,23639
2025-09-05T14:55:00-04:00,23639.75,23657.5,23631.5,23657.25,0,0,0,0,0,0,0,NaN,23657.5,23631.5,23657.25
2025-09-05T15:00:00-04:00,23657,23657.75,23641.25,23655.75,0,0,0,0,0,0,0,NaN,23657.75,23641.25,23655.75
2025-09-05T15:05:00-04:00,23656.25,23680.75,23655.75,23669.25,0,0,0,0,0,0,0,NaN,23680.75,23655.75,23669.25
2025-09-05T15:10:00-04:00,23669.75,23672.75,23664.25,23671,0,0,0,0,0,0,0,NaN,23672.75,23664.25,23671
2025-09-05T15:15:00-04:00,23670.5,23690,23665.25,23671.75,0,0,0,0,0,0,0,NaN,23690,23665.25,23671.75
2025-09-05T15:20:00-04:00,23672,23691.75,23666,23687.25,0,0,0,0,0,0,0,NaN,23691.75,23666,23687.25
2025-09-05T15:25:00-04:00,23687.25,23692.25,23680.5,23683,0,0,0,0,0,0,0,NaN,23692.25,23680.5,23683
2025-09-05T15:30:00-04:00,23683.25,23685.75,23654,23664,0,0,0,0,0,0,0,NaN,23685.75,23654,23664
2025-09-05T15:35:00-04:00,23664,23684.25,23661.5,23665.5,0,0,0,0,0,0,0,NaN,23684.25,23661.5,23665.5
2025-09-05T15:40:00-04:00,23665.5,23676.75,23657.75,23664.75,0,0,0,0,0,0,0,NaN,23676.75,23657.75,23664.75
2025-09-05T15:45:00-04:00,23664.5,23674,23659.5,23666.5,0,0,0,0,0,0,0,NaN,23674,23659.5,23666.5
2025-09-05T15:50:00-04:00,23665.75,23675.5,23643.75,23660.5,0,0,0,0,0,0,0,NaN,23675.5,23643.75,23660.5
2025-09-05T15:55:00-04:00,23660.5,23694.25,23652,23691,0,0,0,0,0,0,0,NaN,23694.25,23652,23691
2025-09-05T16:00:00-04:00,23691.25,23696.25,23677.5,23682.25,0,0,0,0,0,0,0,NaN,23696.25,23677.5,23682.25
2025-09-05T16:05:00-04:00,23682.5,23684.25,23675,23675.5,0,0,0,0,0,0,0,NaN,23684.25,23675,23675.5
2025-09-05T16:10:00-04:00,23675.25,23679,23673,23675.5,0,0,0,0,0,0,0,NaN,23679,23673,23675.5
2025-09-05T16:15:00-04:00,23675.5,23677.25,23666.75,23672,0,0,0,0,0,0,0,NaN,23677.25,23666.75,23672
2025-09-05T16:20:00-04:00,23672.25,23676.5,23671,23674.75,0,0,0,0,0,0,0,NaN,23676.5,23671,23674.75
2025-09-05T16:25:00-04:00,23674.25,23676,23671,23674.75,0,0,0,0,0,0,0,NaN,23676,23671,23674.75
2025-09-05T16:30:00-04:00,23675,23675,23671.25,23672.75,0,0,0,0,0,0,0,NaN,23675,23671.25,23672.75
2025-09-05T16:35:00-04:00,23672.75,23681.5,23672.5,23680.5,0,0,0,0,0,0,0,NaN,23681.5,23672.5,23680.5
2025-09-05T16:40:00-04:00,23680.75,23681,23667.5,23670.5,0,0,0,0,0,0,0,NaN,23681,23667.5,23670.5
2025-09-05T16:45:00-04:00,23670.5,23673.25,23669,23670.75,0,0,0,0,0,0,0,NaN,23673.25,23669,23670.75
2025-09-05T16:50:00-04:00,23671,23677,23670.75,23673.5,0,0,0,0,0,0,0,NaN,23677,23670.75,23673.5
2025-09-05T16:55:00-04:00,23673.5,23676,23672.25,23673.25,0,0,0,0,0,0,0,NaN,23676,23672.25,23673.25
2025-09-07T18:00:00-04:00,23673.5,23689.25,23655,23658.25,0,0,0,0,0,0,0,NaN,23689.25,23655,23658.25
2025-09-07T18:05:00-04:00,23657.5,23664.5,23650.25,23655,0,0,0,0,0,0,0,NaN,23664.5,23650.25,23655
2025-09-07T18:10:00-04:00,23655,23669.25,23655,23669,0,0,0,0,0,0,0,NaN,23669.25,23655,23669
2025-09-07T18:15:00-04:00,23667.75,23679.25,23667.25,23677.25,0,0,0,0,0,0,0,NaN,23679.25,23667.25,23677.25
2025-09-07T18:20:00-04:00,23677.75,23681,23674.25,23680.75,0,0,0,0,0,0,0,NaN,23681,23674.25,23680.75
2025-09-07T18:25:00-04:00,23681.5,23700.25,23680,23697.25,0,0,0,0,0,0,0,NaN,23700.25,23680,23697.25
2025-09-07T18:30:00-04:00,23697.75,23717,23697.75,23717,0,0,0,0,0,0,0,NaN,23717,23697.75,23717
